,artist_name,artist_id,danceability,energy,valence,tempo_norm,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,duration_ms,popularity,count,genre,cluster
0,Frank Sinatra,792507,0.34491657299999995,0.23662355399999999,0.35334583799999997,0.450884281,0.623679988,1,0.454545455,0.73860237,0.021433692999999997,0.229358801,0.028256572999999997,0.089991567,0.321041762,1.0,Vocal,8
1,Johnny Cash,816890,0.61184601,0.448513472,0.6856191979999999,0.478517232,0.688228105,1,0.9090909090000001,0.68839013,0.023274975,0.23990291600000002,0.080248313,0.07311847099999999,0.32856951100000004,0.80628655,Country,8
2,Billie Holiday,79016,0.558344521,0.19988374899999997,0.494758629,0.449350562,0.648871599,1,0.454545455,0.91214713,0.013426121999999999,0.214402702,0.041968100999999994,0.087452214,0.19285190800000002,0.799707602,Vocal,8
3,Bob Dylan,66915,0.490242723,0.47713534700000004,0.550421362,0.5418083539999999,0.6980807040000001,1,0.636363636,0.564825652,0.035160771,0.30931730399999996,0.044217897,0.132351092,0.38099760299999996,0.79751462,Pop/Rock,8
4,The Rolling Stones,894465,0.50368237,0.719719881,0.659015688,0.528177341,0.7789229740000001,1,0.0,0.294967335,0.181024725,0.267155588,0.030209567000000003,0.11541100800000001,0.42683843299999996,0.755847953,Pop/Rock,8
5,The Beach Boys,41874,0.479292954,0.531468828,0.6365662329999999,0.54085172,0.728416148,1,0.818181818,0.40008799100000003,0.118564139,0.18679970399999998,0.022219324,0.064692058,0.34515736399999997,0.725877193,Pop/Rock,8
6,Elvis Presley,180228,0.471238015,0.42538262600000004,0.623220601,0.45832595600000003,0.656879407,1,0.0,0.7443891559999999,0.055110966,0.24521100399999998,0.037525123,0.06931225,0.412245916,0.722953216,Pop/Rock,8
7,Wolfgang Amadeus Mozart,26350,0.30960342,0.136227226,0.31789003600000004,0.441908453,0.481398517,1,0.636363636,0.965434197,0.523001837,0.184343483,0.04844336900000001,0.17813283,0.11032140900000001,0.68494152,Classical,8
8,Miles Davis,423829,0.430830991,0.30700995,0.409610025,0.47005350100000004,0.6175222539999999,0,0.0,0.65834384,0.21076362,0.216519336,0.03355912,0.224749432,0.28024977100000004,0.630847953,Jazz,8
9,Ella Fitzgerald,184502,0.3957171,0.24025314,0.381500634,0.444518288,0.648330274,1,0.0,0.835756533,0.005199937,0.209862452,0.039892907000000005,0.10499428699999999,0.263965781,0.630116959,Vocal,8
10,Dean Martin,813392,0.437933625,0.218185342,0.46945907200000003,0.45652940799999997,0.618754228,1,0.636363636,0.870075743,0.026669045,0.174316374,0.021950397000000003,0.072100119,0.238035627,0.626461988,Vocal,8
11,Queen,858827,0.42957681299999995,0.6020235079999999,0.42593078799999995,0.48778515899999997,0.730750213,1,0.181818182,0.28432284399999996,0.032623809,0.267237149,0.051173705,0.11676659699999999,0.401824513,0.626461988,Pop/Rock,8
12,Lata Mangeshkar,132940,0.476361427,0.301427775,0.652365699,0.48068048399999996,0.6711165459999999,1,0.090909091,0.949785055,0.26969838100000004,0.20452532,0.066565447,0.105711557,0.05048011,0.624269006,International,8
