id,name,influence_score,rank,out_degree,in_degree
754032,The Beatles,1.0,1,615,31
66915,Bob Dylan,0.5888796483491319,2,389,29
894465,The Rolling Stones,0.4315168814916706,3,319,39
549797,Hank Williams,0.3808380620260412,4,184,3
531986,David Bowie,0.34046688641126943,5,238,25
79016,Billie Holiday,0.3301738734153898,6,106,2
287604,Louis Jordan,0.32225250979745096,7,53,2
354105,Jimi Hendrix,0.3182463109527014,8,201,32
180228,Elvis Presley,0.3111881114150738,9,166,16
128099,James Brown,0.31102843235913685,10,154,15
423829,Miles Davis,0.30460239166457703,11,160,16
120521,Chuck Berry,0.3032965017606446,12,159,12
238115,Sam Cooke,0.3016064442380648,13,128,6
139026,Led Zeppelin,0.29322329987343354,14,221,24
848784,Roy Acuff,0.29096558215077994,15,50,0
259529,Lester Young,0.29084446314335927,16,51,1
577531,Woody Guthrie,0.2890416800184543,17,80,0
100160,The Kinks,0.28518873370298375,18,192,8
211758,Charlie Parker,0.2799460733152735,19,95,8
840402,The Velvet Underground,0.2656947308918775,20,181,8
316834,Marvin Gaye,0.2637883273342282,21,169,18
608701,Muddy Waters,0.26375068153282544,22,113,5
41874,The Beach Boys,0.26277416936812253,23,186,13
46861,Ray Charles,0.2603883292164137,24,113,7
532957,Cab Calloway,0.25651510025497165,25,27,0
418740,Sex Pistols,0.25178995731163434,26,153,23
617196,Brian Eno,0.24443951995045748,27,135,15
317093,Nat King Cole,0.24006612566435998,28,65,1
771438,Black Sabbath,0.23934826524443484,29,171,12
577627,The Who,0.23696237465679973,30,149,20
175553,John Coltrane,0.23650445559910782,31,118,15
622805,Stevie Wonder,0.2347752849906007,32,138,11
276085,Howlin' Wolf,0.22823048748806116,33,99,2
162677,Dizzy Gillespie,0.22682080370682192,34,61,6
824022,Little Richard,0.22592817208212418,35,88,9
631774,The Byrds,0.22163675156500354,36,158,20
403120,The Mills Brothers,0.2186317055024715,37,35,1
346336,Pink Floyd,0.21844054139463961,38,142,16
805930,Charlie Christian,0.21781804880237143,39,35,1
104714,Kraftwerk,0.21519467091487124,40,108,8
200775,Ernest Tubb,0.21363470680489244,41,52,0
81083,Bill Monroe,0.20384429107796506,42,59,2
467203,Michael Jackson,0.2016442210662543,43,101,21
75747,The Clash,0.20098585794586663,44,136,26
3829,T-Bone Walker,0.19825622808438761,45,48,2
490004,Ramones,0.1964025156271988,46,127,33
792507,Frank Sinatra,0.19379334970261547,47,71,9
184502,Ella Fitzgerald,0.18781711099158865,48,75,3
414251,Otis Redding,0.18658404555135524,49,99,13
538677,Buddy Holly,0.18602359712187372,50,97,8
379125,Neil Young,0.18560373666631036,51,148,31
562304,The Stooges,0.1821959449566326,52,116,21
816890,Johnny Cash,0.1808435349631508,53,112,11
82584,Billy Eckstine,0.1804541646830507,54,33,2
927555,Aretha Franklin,0.1791874904769457,55,95,16
852855,Roxy Music,0.17915402296305724,56,103,17
489303,The Yardbirds,0.17814420503150127,57,105,17
361393,Prince,0.1761426033585416,58,90,32
410219,Merle Haggard,0.1715043544401945,59,100,14
112462,Cream,0.16938836175254554,60,91,13
821571,Smokey Robinson,0.168061524797862,61,84,12
